,value
vuln_critical_count,3.0
vuln_high_count,7.0
vuln_medium_count,36.0
vuln_low_count,5.0
secrets_detected_count,0.0
secrets_verified_count,0.0
container_vulnerabilities,51.0
container_misconfigurations,333.0
npm_vulnerabilities,0.0
python_vulnerabilities,0.0
sast_code_smells,64.0
sast_security_issues,0.0
iac_misconfigurations,333.0
vuln_new_count,0.0
vuln_fixed_count,0.0
vuln_age_avg_days,0.0
scans_failed_count,0.0
scan_duration_avg_seconds,0.0
cve_count,0.0
cwe_count,0.0
security_risk_score,100.0
pipeline_runs_total,3.0
pipeline_runs_success,0.0
pipeline_runs_failed,3.0
pipeline_runs_cancelled,0.0
pipeline_success_rate,0.0
pipeline_duration_avg_seconds,180.0
pipeline_duration_max_seconds,420.0
pipeline_duration_std_seconds,45.0
build_failures_count,0.0
test_failures_count,1.0
lint_failures_count,0.0
test_coverage_percent,0.0
test_coverage_delta,0.0
deployments_count,0.0
deployments_per_day,0.0
lead_time_hours,2.0
mttr_hours,4.0
change_failure_rate,1.0
stage_checkout_seconds,10.0
stage_build_seconds,60.0
stage_test_seconds,45.0
stage_security_scan_seconds,50.0
stage_docker_build_seconds,70.0
workflows_concurrent_count,3.0
workflow_queue_time_seconds,5.0
artifacts_generated_count,13.0
artifacts_size_mb,0.059165000915527344
job_retry_count,0.0
workflow_rerun_count,0.0
main_branch_runs,3.0
feature_branch_runs,0.0
push_triggered_runs,2.0
schedule_triggered_runs,0.0
manual_triggered_runs,0.0
pipeline_duration_anomaly_score,0.0
